GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,net.aikaka.javaboilerplates.core.interactor,GetSamplesInteractorImpl,0,83,0,4,0,19,0,9,0,7
core,net.aikaka.javaboilerplates.core.entity,SampleEntity,0,42,0,6,0,12,0,9,0,6
